Name,Type of Activity,Address,Location,Group or private,Adults or kids?,What you'll do ,About the instructor ,Online reviews,Price in USD per hour,Price in credits,Category,Availability,Image Link,Associated Business,Notes,
Premier Tennis Lesson with Professional / Division-1 Athlete.,Tennis ,TBD,Hamptons,Both,Both,"Description:

We offer a team of professional tennis coaches that offers tennis lessons at any courts, public or private, in the Hamptons.

Our coaches prepare and personalize specific drills and exercises for each player, while making sure each lesson is fun!

We work with beginner to intermediate and advanced players.

We also organize single and double matces at your private courts.

A snapshot of a few of our trainers: 
Enzo is a former Double player from Chille , He teaches in Switzerland during the year. We recommend Enzo for Group Lesson/ Clinics. Kids and Adults.
""Danil is originally from Kazakhstan He started playing tennis at 8 and spent his junior years competing in tournaments all across Europe,

Danil is a great teacher that make tennis fun for  groups of young kids.""
""Val is a current  D1 college player from St. Francis College. Based in Brooklyn  during the year he teaches kids every week end in his building.

We recommend Val for Little kids and young recreational player that love to have fun with games  on the court .""",,,200,120,Country Club Sports,,https://drive.google.com/file/d/10oGNTZDAtVEAMhmm0lGvRFi1ChKmB7YC/view,Sag Love Tennis ,,
Tennis with Pros in Beautiful Country Club Courts,Tennis ,Will be provided post-booking,Hamptons,Both,Both,"Home of Wimbledon's three beautiful natural grass tennis courts, six Har-Tru tennis courts and one deco-turf court, the surface of the US Open.

Whether you are looking to work on a particular stroke, improve your all-around game, or you simply need a extensive workout, our experienced and enthusiastic pros can help you achieve your tennis goals. They will provide individualized instruction to help you attain your true potential!

Private and Semi-Private Lessons are available to members, all day, everyday.
",,,200,120,Country Club Sports,,https://drive.google.com/file/d/13VES2Oi4tzgpj8S_aFsAZCFU2blC0c09/view,Buckskill Tennis,,
Fun Pickleball Lessons with Dennis,Pickleball,Will be provided post-booking,Hamptons,Both,Both,"Whether you are a beginner or seasoned player our Certified Trained Tennis & Pickleball Staff will design a program tailored to your specific needs. We bring the knowledge, experience and creativity to your door offering the latest tennis Tips, Techniques, Strategies and Teaching Aids to Improve your Tennis Game. Bring the amenities of a top tennis academy to your home court facility and take your pickleball game to the next level ""FAST"" while getting fit and having a ... GREAT TIME !",,,100,60,Country Club Sports,,https://drive.google.com/file/d/1MxvHcF2l2LKRy8Icpz9rLBwIbBen3XTS/view,Tennis with Dennis,,
Golf & Batting Cage,Golf & Baseball,Will be provided post-booking,Hamptons,Both,Both ,"After you improve your golf swing from a PGA pro, you'll learn how to hit some fastballs and perfect your baseball swing from a collegiate baseball coach. 
",,,$150-$200 per hour,#VALUE!,Country Club Sports,,,Southhampton Golf Range,,
Mini Golf in the Hamptons,Miscellanious Entertainment ,Will be provided post-booking,Hamptons,Both,Both ,"This is a brand new 18 hole mini golf featuring historic landmarks from the Hamptons. Start your round next to the Conscience Point Rock and make your way around Dune Road and then on to the Watermill Museum. Make the turn and start the back 9 with the beautiful Montauk Lighthouse in the background, and then try for a hole in one on the Hook Windmill hole. Our mini golf also features a giant waterfall in the middle of the course that streams down to ponds throughout the course. Bring the family and enjoy the fresh air and beautiful Hamptons scenery! 
",,,"$15
16 and over

Child
$12
Under 16",#VALUE!,Entertainment,,https://drive.google.com/file/d/18rDtMCehVCpmBhf06mu-gH3FVByljWS6/view,Southhampton Golf Range,,
Golf Lessons with a PGA Pro,Golf,Will be provided post-booking,Hamptons,Private,Both ,"With a private lesson from a PGA Class A Professional, you'll discover techniques and strategies for improvement that would otherwise take years to learn.

So whether you are looking to add distance to your drive, improve your short game, or learn how to finally hit your irons straight, your instructor will help you reach your goals.

Enjoy this all at a world-class facility. ",,,$150-$200 ish,#VALUE!,Country Club Sports,,https://drive.google.com/file/d/1zQjB4-Tskell-WExefQFZMKBEL6qORu_/view,Southhampton Golf Range,,
"Learn to hit, throw, or catch a baseball",Baseball ,Will be provided post-booking,Hamptons,Both,Kids,"Flexible and convenient, our private lessons and parties are a great way to bring the fun to you! Whether your child is looking for extra one-on-one coaching, you have a small group that would like to work together weekly, or you’re hosting a one-time event, our staff is available to help. 

",,,$140 for 1 hour,#VALUE!,Team Sports,,https://drive.google.com/file/d/1CbZKQrLkspU-OBm7Nh0mpnfLqUqk8bL7/view,https://www.hamptonsbaseballcamp.com/our-team,,
Horseback Riding - Equestrian,Equestrian,"Will be provided post-booking

2035 Scuttle Hole Road, Bridgehampton, New York 11932 United States

",Hamptons,Both,Both ,"We been providing exceptional training for over a decade. Our experienced instructors are passionate about sharing their knowledge and love for horses with our students. 

We have three full service facilities 

Bridgehampton, NY Riverhead, NY 

and Wellington, FL

 
Our instructors are highly qualified and experienced equestrians. They are passionate about teaching and dedicated to ensuring our students receive the best possible education and experience.",,,"30 Minute Lesson
$190
(Includes use of school horse or pony)

45 Minute Lesson
$215
(Includes use of school horse or pony )",#VALUE!,Country Club Sports,,https://drive.google.com/file/d/1aJjjdNGj0ARSBEmPS4t81T-t-WKvQsBL/view,First Blue ,,
Learn to ride a horse like the Wild West,Western Riding & Rodeo,Will be provided post-booking,Hamptons,Both,Both ,"Western style: from saddles to bridles to the real cowboys and cowgirls who will be your trail guides. Groups are small and we match a rider's ability from beginners to advanced. Private guided rides are available, too.

And don't miss a ride along the shore of Block Island Sound. Pristine, white sandy beaches, and some of the most beautiful coastline in the United States.
",,,"pony rides are $10 each
trail rides are $75each
​beach and trail rides are $160 each",#VALUE!,Extreme Sports,,https://drive.google.com/file/d/1VIT9reojaRDxROQVWRBrPF4RPpVvygom/view,Deep Hallow Ranch,,
Skydive in the Hamptons. Beachside Jump! ,Skydiving,Will be provided post-booking,Hamptons,Both,Both ," If you're looking to ""skydive near me"" and make your first jump, there is no better place to do it than with us. Our experienced instructors, breathtaking coastal views and easy access from New York City, New Jersey, and the Hamptons have made us the #1 choice for skydiving NYC!",,,"Tandem Skydive Weekday Rate - Monday thru Friday
$239.00
Tandem Skydive Weekend Rate - Saturday & Sundays
$259.00
Gotta Go Again
Save on your next jump! $50 deposit; $159 due onsite.
$209.00

VIDEO SERVICES
Option        Reg Price        Sale Price
Video Package - Video Only
$119.00        $99.00
Photo Package - Photos Only
$119.00        $99.00
Video and Photos Package
$149.00        $129.00
Deluxe Video and Photos Package with T-Shirt
$159.00        $149.00
GROUP RATES
Option        Discount
Groups of 4-7 People - *group discounts cannot be combined with any other offers or discounts
$10 OFF Per Person
Groups of 8 or More - *group discounts cannot be combined with any other offers or discounts
$20 OFF Per Person",#VALUE!,Extreme Sports,,https://drive.google.com/file/d/1RmtY_TBzDdpVid1OtreaRKUhFvm0kWc3/view,https://www.longislandskydiving.com/,,
